id,value,feed_id,created_at,lat,lon,ele
0EADW9GF9E8EYZ7V3B2WKRB135,"48.5,34.8,39.2,35.9,33.2,34.6,102.4,,54.8,,35.8, , 36.7,68.8,995.0,500.7,136.7",1235641,2019-12-01 02:20:31 UTC,,,
0EADW9N1SQ25980AGXCC9ZH64G,"48.6,34.9,39.2,36.0,33.3,34.7,102.5,,55.0,,35.9, , 36.8,68.9,995.0,500.5,136.5",1235641,2019-12-01 02:20:46 UTC,,,
0EADW9SM84QF2B963G61ESF2E5,"48.7,35.0,39.3,36.0,33.3,34.7,102.6,,55.2,,35.9, , 36.8,69.0,995.0,500.7,136.1",1235641,2019-12-01 02:21:01 UTC,,,
0EADW9Y6WCZ3GC14TZVNJ1SNQ4,"49.0,35.0,39.3,36.1,33.3,34.8,102.8,,55.4,,35.9, , 36.8,69.1,995.0,500.7,135.7",1235641,2019-12-01 02:21:16 UTC,,,
0EADWA2SE88TPG1N5E2S2BN1TK,"49.1,35.2,39.4,36.1,33.3,34.9,102.8,,55.3,,35.9, , 36.9,69.3,995.0,500.7,135.8",1235641,2019-12-01 02:21:31 UTC,,,
0EADWA7BVEH65AH2Y0T0WWQ5NX,"49.2,35.3,39.5,36.2,33.3,35.0,103.0,,55.7,,35.9, , 36.9,69.3,995.0,501.3,135.6",1235641,2019-12-01 02:21:46 UTC,,,
0EADWABYH1VARJA51CRE7HN3FM,"49.3,35.4,39.6,36.4,33.3,35.2,103.1,,55.7,,35.9, , 37.0,69.4,994.9,501.3,135.2",1235641,2019-12-01 02:22:01 UTC,,,
0EADWAGGRF4DDMPJ7K1NBE8AV5,"49.4,35.4,39.6,36.4,33.3,35.3,103.3,,56.1,,35.9, , 37.0,69.4,995.0,501.3,135.2",1235641,2019-12-01 02:22:16 UTC,,,
0EADWAN3MD0J7G1M3C6RZEY7AY,"49.5,35.5,39.7,36.5,33.4,35.3,103.3,,56.3,,36.1, , 37.1,69.5,995.0,501.9,134.9",1235641,2019-12-01 02:22:31 UTC,,,
0EADWASNG3W4B7W1T6XNWGEJNY,"49.5,35.5,39.7,36.6,33.4,35.3,103.5,,56.1,,36.2, , 37.1,69.6,995.0,501.9,134.5",1235641,2019-12-01 02:22:46 UTC,,,
0EADWAY89P899C9R82Z6ZTGKWK,"49.7,35.6,39.8,36.6,33.4,35.4,103.7,,56.4,,36.1, , 37.2,69.7,995.0,501.9,133.8",1235641,2019-12-01 02:23:01 UTC,,,
0EADWB2VFVF0GNJMESRPBAQX0G,"50.1,35.6,40.0,36.7,33.4,35.5,103.7,,56.6,,36.2, , 37.2,69.8,995.0,501.3,134.2",1235641,2019-12-01 02:23:16 UTC,,,
0EADWB7D4DJRBB7SNPB2VDM0EK,"50.0,35.7,40.1,36.8,33.4,35.6,103.7,,56.9,,36.4, , 37.3,69.9,995.0,501.3,133.5",1235641,2019-12-01 02:23:31 UTC,,,
0EADWBBZQPM8MQY3C6C5X0WQB7,"50.1,35.8,40.1,36.8,33.4,35.6,103.9,,56.9,,36.4, , 37.3,69.9,995.0,501.3,133.8",1235641,2019-12-01 02:23:46 UTC,,,
0EADWBGJ8BBHMJXBC8KJJ2M6VA,"50.2,35.8,40.1,36.9,33.4,35.8,104.0,,57.3,,36.2, , 37.4,70.0,994.9,501.9,133.6",1235641,2019-12-01 02:24:01 UTC,,,
0EADWBN4WBHCYNR1819P5W9A31,"50.3,36.1,40.2,36.9,33.5,35.8,104.2,,57.3,,36.2, , 37.4,70.1,995.0,501.3,133.2",1235641,2019-12-01 02:24:16 UTC,,,
